"customer_id","first_name","last_name","rental_id"
373,"Louis","Leone",11739
532,"Neil","Renner",14616
216,"Natalie","Meyer",11676
374,"Jeremy","Hurtado",15966
274,"Naomi","Jennings",13486
168,"Regina","Berry",15894
472,"Greg","Robins",14928
282,"Jenny","Castro",15430
287,"Becky","Miles",14204
352,"Albert","Crouse",13578
568,"Alberto","Henning",14531
576,"Morris","Mccarter",13464
582,"Andy","Vanhorn",12127
75,"Tammy","Sanders",14488
354,"Justin","Ngo",12759
52,"Julie","Sanchez",12001
42,"Carolyn","Perez",13351
219,"Willie","Howell",11577
354,"Justin","Ngo",11782
576,"Morris","Mccarter",11942
269,"Cassandra","Walters",13025
369,"Fred","Wheat",13898
216,"Natalie","Meyer",12970
251,"Vickie","Brewer",14107
28,"Cynthia","Young",12938
548,"Allan","Cornish",13584
69,"Judy","Gray",11995
22,"Laura","Rodriguez",12222
521,"Roland","South",11672
579,"Daryl","Larue",15794
448,"Miguel","Betancourt",13577
214,"Kristin","Johnston",15645
186,"Holly","Fox",14216
115,"Wendy","Harrison",13056
163,"Cathy","Spencer",11754
495,"Charlie","Bess",13753
334,"Raymond","Mcwhorter",14219
15,"Helen","Harris",13968
75,"Tammy","Sanders",15191
152,"Alicia","Mills",11848
94,"Norma","Gonzales",15371
497,"Gilbert","Sledge",12698
73,"Beverly","Brooks",13108
41,"Stephanie","Mitchell",15875
525,"Adrian","Clary",14954
244,"Viola","Hanson",12736
208,"Lucy","Wheeler",13719
417,"Travis","Estep",13261
537,"Clinton","Buford",13419
42,"Carolyn","Perez",15407
58,"Jean","Bell",15326
440,"Bernard","Colby",13106
530,"Darryl","Ashcraft",13561
327,"Larry","Thrasher",15297
269,"Cassandra","Walters",12610
295,"Daisy","Bates",15735
43,"Christine","Roberts",15644
175,"Annette","Olson",14060
560,"Jordan","Archuleta",12116
267,"Margie","Wade",13713
53,"Heather","Morris",11657
300,"John","Farnsworth",15695
142,"April","Burns",15454
120,"Sylvia","Ortiz",15780
315,"Kenneth","Gooden",14426
135,"Juanita","Mason",13390
180,"Stacy","Cunningham",12901
388,"Craig","Morrell",12891
200,"Jeanne","Lawson",11866
412,"Allen","Butterfield",15314
560,"Jordan","Archuleta",14425
43,"Christine","Roberts",15745
476,"Derrick","Bourque",13941
227,"Colleen","Burton",13374
193,"Katie","Elliott",15729
561,"Ian","Still",14415
516,"Elmer","Noe",12915
162,"Lauren","Hudson",14220
75,"Tammy","Sanders",13534
267,"Margie","Wade",12066
431,"Joel","Francisco",13587
493,"Brent","Harkins",14160
229,"Tamara","Nguyen",13295
53,"Heather","Morris",14137
557,"Felix","Gaffney",14278
592,"Terrance","Roush",14606
336,"Joshua","Mark",13022
527,"Cory","Meehan",14267
450,"Jay","Robb",14172
80,"Marilyn","Ross",12457
188,"Melanie","Armstrong",14503
533,"Jessie","Milam",14018
296,"Ramona","Hale",12009
361,"Lawrence","Lawton",13298
56,"Gloria","Cook",15714
155,"Gail","Knight",11496
335,"Gregory","Mauldin",11541
452,"Tom","Milner",14175
163,"Cathy","Spencer",15282
192,"Laurie","Lawrence",11611
411,"Norman","Currier",13246
181,"Ana","Bradley",13008
361,"Lawrence","Lawton",14769
534,"Christian","Jung",14526
596,"Enrique","Forsythe",15423
337,"Jerry","Jordon",11847
14,"Betty","White",13780
228,"Allison","Stanley",12672
330,"Scott","Shelley",11709
410,"Curtis","Irby",12665
457,"Bill","Gavin",12645
597,"Freddie","Duggan",11652
5,"Elizabeth","Brown",13209
479,"Zachary","Hite",12101
83,"Louise","Jenkins",11563
284,"Sonia","Gregory",12959
178,"Marion","Snyder",12897
264,"Gwendolyn","May",14243
405,"Leonard","Schofield",12792
448,"Miguel","Betancourt",14734
355,"Terry","Grissom",14760
516,"Elmer","Noe",12130
550,"Guy","Brownlee",11757
234,"Claudia","Fuller",15778
191,"Jeanette","Greene",14361
263,"Hilda","Hopkins",15293
441,"Mario","Cheatham",14878
21,"Michelle","Clark",14933
245,"Courtney","Day",12682
252,"Mattie","Hoffman",13756
114,"Grace","Ellis",12506
87,"Wanda","Patterson",12719
64,"Judith","Cox",13333
23,"Sarah","Lewis",15532
508,"Milton","Howland",14318
585,"Perry","Swafford",14604
421,"Lee","Hawks",15710
211,"Stacey","Montgomery",12746
175,"Annette","Olson",13161
9,"Margaret","Moore",15813
190,"Yolanda","Weaver",15167
215,"Jessie","Banks",15862
424,"Kyle","Spurlock",15094
228,"Allison","Stanley",15234
208,"Lucy","Wheeler",15717
474,"Dustin","Gillette",11909
570,"Ivan","Cromwell",12716
438,"Barry","Lovelace",12524
505,"Rafael","Abney",15867
99,"Emily","Diaz",11593
107,"Florence","Woods",13079
101,"Peggy","Myers",12141
457,"Bill","Gavin",14516
394,"Chris","Brothers",13178
324,"Gary","Coy",13965
155,"Gail","Knight",12352
60,"Mildred","Bailey",14741
359,"Willie","Markham",15655
279,"Dianne","Shelton",13538
29,"Angela","Hernandez",15577
15,"Helen","Harris",13798
587,"Sergio","Stanfield",12144
11,"Lisa","Anderson",11646
91,"Lois","Butler",12902
100,"Robin","Hayes",15021
33,"Anna","Hill",12277
60,"Mildred","Bailey",12489
496,"Tyler","Wren",13182
107,"Florence","Woods",15497
284,"Sonia","Gregory",12064
422,"Melvin","Ellington",15441
213,"Gina","Williamson",14374
199,"Beth","Franklin",13952
317,"Edward","Baugh",12574
349,"Joe","Gilliland",14915
44,"Marie","Turner",13428
512,"Cecil","Vines",12786
236,"Marcia","Dean",12988
108,"Tracy","Cole",15294
